KodProduktu,Wyprzedaz,ilosc_indeks,Wartosc_indeks,SlsU,SlsR,KATEGORIA,DEPARTAMENT,GRUPA,grupa_towarowanie,przedzial_ilosci
31-00331-803,0,3883,17395.84,527,5181.47,AKCESORIA,5_AKCESORIA,AKCESORIA OBUWNICZE,AKCESORIA OBUWNICZE,"(800,1e+04]"
31-00043-803,1,1641,7286.04,0,0,AKCESORIA,5_AKCESORIA,AKCESORIA OBUWNICZE,AKCESORIA OBUWNICZE,"(800,1e+04]"
A39,0,447,3155.8199999999997,262,4375.73,AKCESORIA,5_AKCESORIA,AKCESORIA OBUWNICZE,AKCESORIA OBUWNICZE,"(400,800]"
A37,0,524,3704.6800000000003,143,2370.24,AKCESORIA,5_AKCESORIA,AKCESORIA OBUWNICZE,AKCESORIA OBUWNICZE,"(400,800]"
W83,0,521,2724.8300000000004,165,2119.04,AKCESORIA,5_AKCESORIA,AKCESORIA OBUWNICZE,AKCESORIA OBUWNICZE,"(400,800]"
A78,0,471,3579.6,53,1045.87,AKCESORIA,5_AKCESORIA,AKCESORIA OBUWNICZE,AKCESORIA OBUWNICZE,"(400,800]"
A23,0,498,3924.24,53,1044.87,AKCESORIA,5_AKCESORIA,AKCESORIA OBUWNICZE,AKCESORIA OBUWNICZE,"(400,800]"
C31,0,449,2245,74,1016.78,AKCESORIA,5_AKCESORIA,AKCESORIA OBUWNICZE,AKCESORIA OBUWNICZE,"(400,800]"
A24,0,508,5598.16,40,989.3499999999999,AKCESORIA,5_AKCESORIA,AKCESORIA OBUWNICZE,AKCESORIA OBUWNICZE,"(400,800]"
A25,0,502,5175.620000000001,39,925.77,AKCESORIA,5_AKCESORIA,AKCESORIA OBUWNICZE,AKCESORIA OBUWNICZE,"(400,800]"
G58-001,0,502,2610.4,13,127.68,AKCESORIA,5_AKCESORIA,AKCESORIA OBUWNICZE,AKCESORIA OBUWNICZE,"(400,800]"
G58-009,0,515,2693.4500000000003,12,119.89,AKCESORIA,5_AKCESORIA,AKCESORIA OBUWNICZE,AKCESORIA OBUWNICZE,"(400,800]"
16-330900000-000,0,454,708.24,21,72.78,AKCESORIA,5_AKCESORIA,AKCESORIA OBUWNICZE,AKCESORIA OBUWNICZE,"(400,800]"
16-331500000-006,0,333,692.64,37,197.38,AKCESORIA,5_AKCESORIA,AKCESORIA OBUWNICZE,AKCESORIA OBUWNICZE,"(200,400]"
16-331200000-006,0,274,504.16,26,113.19,AKCESORIA,5_AKCESORIA,AKCESORIA OBUWNICZE,AKCESORIA OBUWNICZE,"(200,400]"
16-330900000-006,0,263,410.28000000000003,30,102.24000000000001,AKCESORIA,5_AKCESORIA,AKCESORIA OBUWNICZE,AKCESORIA OBUWNICZE,"(200,400]"
16-331500000-000,0,373,772.1099999999999,19,100.75,AKCESORIA,5_AKCESORIA,AKCESORIA OBUWNICZE,AKCESORIA OBUWNICZE,"(200,400]"
16-320900000-006,0,301,415.38,20,59.56,AKCESORIA,5_AKCESORIA,AKCESORIA OBUWNICZE,AKCESORIA OBUWNICZE,"(200,400]"
